iter	Passed	Remaining
473	730	810
474	731	809
475	733	807
476	735	806
477	736	804
478	738	803
479	739	801
480	741	800
481	743	798
482	744	797
483	746	795
484	747	793
485	749	792
486	750	790
487	752	789
488	753	787
489	755	786
490	756	784
491	758	783
492	759	781
493	761	779
494	762	778
495	764	776
496	765	775
497	767	773
498	768	771
499	770	770
500	771	768
501	773	767
502	774	765
503	776	763
504	777	762
505	779	760
506	780	759
507	782	757
508	783	755
509	785	754
510	786	752
511	788	751
512	789	749
513	791	748
514	793	746
515	794	745
516	796	743
517	797	742
518	799	740
519	800	739
520	802	737
521	804	736
522	805	734
523	806	733
524	808	731
525	809	729
526	811	728
527	812	726
528	814	725
529	816	723
530	817	722
531	819	720
532	820	719
533	822	717
534	824	716
535	825	714
536	827	713
537	828	711
538	830	710
539	832	708
540	833	707
541	835	705
542	836	704
543	837	702
544	839	700
545	840	699
546	842	697
547	844	696
548	845	694
549	847	693
550	849	691
551	850	690
552	852	689
553	854	687
554	855	686
555	857	684
556	859	683
557	860	681
558	862	680
559	863	678
560	865	677
561	866	675
562	868	674
563	869	672
564	871	671
565	873	669
566	875	668
567	876	666
568	878	665
569	880	663
570	881	662
571	883	661
572	884	659
573	886	657
574	888	656
575	889	654
576	891	653
577	892	651
578	894	650
579	895	648
580	897	646
581	898	645
582	899	643
583	901	642
584	903	640
585	904	639
586	906	637
587	907	635
588	909	634
589	910	632
590	912	631
591	913	629
592	915	628
593	917	626
594	918	625
595	920	624
596	922	622
597	924	621
598	925	619
599	927	618
600	929	616
601	930	615
602	932	613
603	934	612
604	935	610
605	937	609
606	938	607
607	940	606
608	942	604
609	943	603
610	945	601
611	947	600
612	948	598
613	950	597
614	951	595
615	953	594
616	954	592
617	956	591
618	957	589
619	959	588
620	961	586
621	962	585
622	964	583
623	965	581
624	967	580
625	968	578
626	970	577
627	971	575
628	973	574
629	974	572
630	976	571
631	978	569
632	979	568
633	981	566
634	983	565
635	984	563
636	986	561
637	987	560
638	989	558
639	990	557
640	992	555
641	994	554
642	995	552
643	996	551
644	998	549
645	1000	547
646	1001	546
647	1003	544
648	1004	543
649	1006	541
650	1007	540
651	1008	538
652	1010	536
653	1011	535
654	1013	533
655	1014	532
656	1016	530
657	1017	529
658	1019	527
659	1020	525
660	1022	524
661	1024	522
662	1025	521
663	1027	519
664	1028	518
665	1030	516
666	1031	515
667	1033	513
668	1034	511
669	1036	510
670	1037	508
671	1039	507
672	1040	505
673	1042	504
674	1043	502
675	1045	501
676	1046	499
677	1048	497
678	1050	496
679	1051	494
680	1053	493
681	1054	491
682	1056	490
683	1057	488
684	1059	487
685	1060	485
686	1062	483
687	1064	482
688	1065	480
689	1067	479
690	1068	477
691	1070	476
692	1071	474
693	1073	473
694	1074	471
695	1075	469
696	1077	468
697	1079	466
698	1080	465
699	1082	463
700	1083	462
701	1085	460
702	1086	458
703	1087	457
704	1089	455
705	1090	454
706	1092	452
707	1093	451
708	1095	449
709	1097	448
710	1098	446
711	1099	444
712	1101	443
713	1102	441
714	1104	440
715	1105	438
716	1107	437
717	1108	435
718	1110	434
719	1112	432
720	1113	431
721	1115	429
722	1116	427
723	1118	426
724	1119	424
725	1121	423
726	1122	421
727	1124	420
728	1125	418
729	1127	416
730	1128	415
731	1130	413
732	1131	412
733	1133	410
734	1134	409
735	1136	407
736	1137	406
737	1139	404
738	1140	402
739	1142	401
740	1143	399
741	1145	398
742	1146	396
743	1148	395
744	1149	393
745	1151	391
746	1152	390
747	1154	389
748	1156	387
749	1157	385
750	1159	384
751	1160	382
752	1162	381
753	1163	379
754	1165	378
755	1166	376
756	1168	374
757	1169	373
758	1171	371
759	1172	370
760	1174	368
761	1175	367
762	1177	365
763	1178	364
764	1180	362
765	1181	361
766	1183	359
767	1184	357
768	1186	356
769	1187	354
770	1189	353
771	1190	351
772	1192	350
773	1194	348
774	1195	347
775	1197	345
776	1198	343
777	1200	342
778	1201	340
779	1203	339
780	1204	337
781	1206	336
782	1207	334
783	1209	333
784	1210	331
785	1212	330
786	1213	328
787	1215	326
788	1216	325
789	1218	323
790	1219	322
791	1221	320
792	1222	319
793	1224	317
794	1225	316
795	1227	314
796	1228	312
797	1230	311
798	1231	309
799	1233	308
800	1234	306
801	1235	305
802	1237	303
803	1239	302
804	1240	300
805	1242	298
806	1243	297
807	1244	295
808	1246	294
809	1247	292
810	1249	291
811	1250	289
812	1252	288
813	1253	286
814	1255	284
815	1256	283
816	1258	281
817	1259	280
818	1261	278
819	1262	277
820	1264	275
821	1265	274
822	1267	272
823	1268	271
824	1270	269
825	1271	267
826	1273	266
827	1274	264
828	1276	263
829	1277	261
830	1278	260
831	1280	258
832	1282	257
833	1283	255
834	1285	253
835	1286	252
836	1288	250
837	1289	249
838	1291	247
839	1292	246
840	1294	244
841	1295	243
842	1297	241
843	1298	239
844	1299	238
845	1301	236
846	1302	235
847	1304	233
848	1305	232
849	1307	230
850	1308	229
851	1310	227
852	1312	226
853	1313	224
854	1315	223
855	1316	221
856	1318	219
857	1319	218
858	1321	216
859	1322	215
860	1324	213
861	1325	212
862	1326	210
863	1328	209
864	1329	207
865	1331	206
866	1332	204
867	1334	202
868	1335	201
869	1337	199
870	1338	198
871	1340	196
872	1342	195
873	1343	193
874	1344	192
875	1346	190
876	1347	189
877	1349	187
878	1350	185
879	1352	184
880	1353	182
881	1355	181
882	1357	179
883	1358	178
884	1360	176
885	1361	175
886	1363	173
887	1364	172
888	1366	170
889	1368	169
890	1369	167
891	1370	165
892	1372	164
893	1373	162
894	1375	161
895	1376	159
896	1378	158
897	1380	156
898	1381	155
899	1383	153
900	1384	152
901	1386	150
902	1387	149
903	1389	147
904	1390	145
905	1392	144
906	1393	142
907	1395	141
908	1396	139
909	1397	138
910	1399	136
911	1401	135
912	1402	133
913	1404	132
914	1406	130
915	1407	129
916	1409	127
917	1410	126
918	1412	124
919	1413	122
920	1415	121
921	1416	119
922	1418	118
923	1419	116
924	1421	115
925	1423	113
926	1424	112
927	1425	110
928	1427	109
929	1428	107
930	1430	106
931	1431	104
932	1433	102
933	1434	101
934	1436	99
935	1437	98
