iter	Logloss
0	0.6857251662
1	0.6783610182
2	0.6725254095
3	0.6653448395
4	0.6579444612
5	0.6516472002
6	0.6450957825
7	0.6372518599
8	0.6310024098
9	0.6230508471
10	0.6155966764
11	0.6091396446
12	0.6020795668
13	0.5961197796
14	0.5912209568
15	0.5842069716
16	0.5792160683
17	0.5743808885
18	0.5699232977
19	0.5641325077
20	0.5605010401
21	0.5550889181
22	0.5505683092
23	0.5449305899
24	0.5388450731
25	0.5330475383
26	0.5296111392
27	0.5247857101
28	0.5192494111
29	0.514282039
30	0.5102058891
31	0.506181426
32	0.5019559685
33	0.4974276974
34	0.4931164527
35	0.4888891162
36	0.4852991118
37	0.4807440392
38	0.4760523027
39	0.4714695473
40	0.4686915239
41	0.4643907947
42	0.4602821029
43	0.4566015075
44	0.453668343
45	0.4508086372
46	0.4479749649
47	0.4457634045
48	0.4420492089
49	0.438520947
50	0.435166325
51	0.4324162156
52	0.4299170371
53	0.4273064955
54	0.424376296
55	0.4210569017
56	0.4183460479
57	0.4151077158
58	0.4117112126
59	0.4090119292
60	0.4068712771
61	0.4054454487
62	0.4030203934
63	0.3998818985
64	0.3970397609
65	0.3945565638
66	0.3922381765
67	0.3898616157
68	0.3870981365
69	0.3850856663
70	0.3828393324
71	0.3804950257
72	0.3782529503
73	0.3764839383
74	0.3741677995
75	0.372019164
76	0.3694559561
77	0.3673635719
78	0.3649467314
79	0.3622128984
80	0.3603776772
81	0.3587951347
82	0.3564097604
83	0.3546432822
84	0.3518625977
85	0.3497657753
86	0.3482347731
87	0.3463784159
88	0.3452346362
89	0.3431367246
90	0.3417514091
91	0.3403028054
92	0.338354362
93	0.336479602
94	0.3349571607
95	0.333067817
96	0.3312573819
97	0.329421483
98	0.3273538884
99	0.3255232076
100	0.3232558342
101	0.3217872944
102	0.3200768235
103	0.3190459286
104	0.3171294182
105	0.3156869217
106	0.3137796374
107	0.312425862
108	0.3103836429
109	0.3094478027
110	0.3079679218
111	0.3062903177
112	0.3048781223
113	0.3040065855
114	0.3022786491
115	0.3008495373
116	0.2993086186
117	0.2977103022
118	0.2963562234
119	0.2951763206
120	0.2941120945
121	0.2928149963
122	0.2917573591
123	0.2901459746
124	0.2884488272
125	0.2873488658
126	0.2854589213
127	0.2841854419
128	0.2825072378
129	0.2810544413
130	0.2799443527
131	0.27848217
132	0.2768119464
133	0.2756945686
134	0.2745950968
135	0.2732079804
136	0.272259837
137	0.2711786687
138	0.2698752728
139	0.2690161296
140	0.267736794
141	0.2669137601
142	0.2658300269
143	0.2641601187
144	0.2634938079
145	0.2620945629
146	0.2608135009
147	0.2596919324
148	0.2589407409
149	0.2578219133
150	0.2569083912
151	0.2556844834
152	0.2549405402
153	0.2538649911
154	0.2530245562
155	0.2514954423
156	0.250453209
157	0.2496121917
158	0.2485131322
159	0.2474393072
160	0.2463072721
161	0.2452739829
162	0.2443267044
163	0.2434711718
164	0.2423384108
165	0.2409979609
166	0.2403429855
167	0.2396093186
168	0.2385111034
169	0.2378692954
170	0.2372299391
171	0.2364822261
172	0.2355870084
173	0.2345786994
174	0.2336418098
175	0.2329471614
